date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2018-02-16,2018,1,2,February,16,4,Friday,7,True
2018-02-17,2018,1,2,February,17,5,Saturday,7,False
2018-02-18,2018,1,2,February,18,6,Sunday,7,False
2018-02-19,2018,1,2,February,19,0,Monday,8,True
2018-02-20,2018,1,2,February,20,1,Tuesday,8,True
2018-02-21,2018,1,2,February,21,2,Wednesday,8,True
2018-02-22,2018,1,2,February,22,3,Thursday,8,True
2018-02-23,2018,1,2,February,23,4,Friday,8,True
2018-02-24,2018,1,2,February,24,5,Saturday,8,False
2018-02-25,2018,1,2,February,25,6,Sunday,8,False
2018-02-26,2018,1,2,February,26,0,Monday,9,True
2018-02-27,2018,1,2,February,27,1,Tuesday,9,True
2018-02-28,2018,1,2,February,28,2,Wednesday,9,True
2018-03-01,2018,1,3,March,1,3,Thursday,9,True
2018-03-02,2018,1,3,March,2,4,Friday,9,True
2018-03-03,2018,1,3,March,3,5,Saturday,9,False
2018-03-04,2018,1,3,March,4,6,Sunday,9,False
2018-03-05,2018,1,3,March,5,0,Monday,10,True
2018-03-06,2018,1,3,March,6,1,Tuesday,10,True
2018-03-07,2018,1,3,March,7,2,Wednesday,10,True
2018-03-08,2018,1,3,March,8,3,Thursday,10,True
2018-03-09,2018,1,3,March,9,4,Friday,10,True
2018-03-10,2018,1,3,March,10,5,Saturday,10,False
2018-03-11,2018,1,3,March,11,6,Sunday,10,False
2018-03-12,2018,1,3,March,12,0,Monday,11,True
2018-03-13,2018,1,3,March,13,1,Tuesday,11,True
2018-03-14,2018,1,3,March,14,2,Wednesday,11,True
2018-03-15,2018,1,3,March,15,3,Thursday,11,True
2018-03-16,2018,1,3,March,16,4,Friday,11,True
2018-03-17,2018,1,3,March,17,5,Saturday,11,False
2018-03-18,2018,1,3,March,18,6,Sunday,11,False
2018-03-19,2018,1,3,March,19,0,Monday,12,True
2018-03-20,2018,1,3,March,20,1,Tuesday,12,True
2018-03-21,2018,1,3,March,21,2,Wednesday,12,True
2018-03-22,2018,1,3,March,22,3,Thursday,12,True
2018-03-23,2018,1,3,March,23,4,Friday,12,True
2018-03-24,2018,1,3,March,24,5,Saturday,12,False
2018-03-25,2018,1,3,March,25,6,Sunday,12,False
2018-03-26,2018,1,3,March,26,0,Monday,13,True
2018-03-27,2018,1,3,March,27,1,Tuesday,13,True
2018-03-28,2018,1,3,March,28,2,Wednesday,13,True
2018-03-29,2018,1,3,March,29,3,Thursday,13,True
2018-03-30,2018,1,3,March,30,4,Friday,13,True
2018-03-31,2018,1,3,March,31,5,Saturday,13,False
2018-04-01,2018,2,4,April,1,6,Sunday,13,False
2018-04-02,2018,2,4,April,2,0,Monday,14,True
2018-04-03,2018,2,4,April,3,1,Tuesday,14,True
2018-04-04,2018,2,4,April,4,2,Wednesday,14,True
2018-04-05,2018,2,4,April,5,3,Thursday,14,True
2018-04-06,2018,2,4,April,6,4,Friday,14,True
2018-04-07,2018,2,4,April,7,5,Saturday,14,False
2018-04-08,2018,2,4,April,8,6,Sunday,14,False
2018-04-09,2018,2,4,April,9,0,Monday,15,True
2018-04-10,2018,2,4,April,10,1,Tuesday,15,True
2018-04-11,2018,2,4,April,11,2,Wednesday,15,True
2018-04-12,2018,2,4,April,12,3,Thursday,15,True
2018-04-13,2018,2,4,April,13,4,Friday,15,True
2018-04-14,2018,2,4,April,14,5,Saturday,15,False
2018-04-15,2018,2,4,April,15,6,Sunday,15,False
2018-04-16,2018,2,4,April,16,0,Monday,16,True
2018-04-17,2018,2,4,April,17,1,Tuesday,16,True
2018-04-18,2018,2,4,April,18,2,Wednesday,16,True
2018-04-19,2018,2,4,April,19,3,Thursday,16,True
2018-04-20,2018,2,4,April,20,4,Friday,16,True
2018-04-21,2018,2,4,April,21,5,Saturday,16,False
2018-04-22,2018,2,4,April,22,6,Sunday,16,False
2018-04-23,2018,2,4,April,23,0,Monday,17,True
2018-04-24,2018,2,4,April,24,1,Tuesday,17,True
2018-04-25,2018,2,4,April,25,2,Wednesday,17,True
2018-04-26,2018,2,4,April,26,3,Thursday,17,True
2018-04-27,2018,2,4,April,27,4,Friday,17,True
2018-04-28,2018,2,4,April,28,5,Saturday,17,False
2018-04-29,2018,2,4,April,29,6,Sunday,17,False
2018-04-30,2018,2,4,April,30,0,Monday,18,True
2018-05-01,2018,2,5,May,1,1,Tuesday,18,True
2018-05-02,2018,2,5,May,2,2,Wednesday,18,True
2018-05-03,2018,2,5,May,3,3,Thursday,18,True
2018-05-04,2018,2,5,May,4,4,Friday,18,True
2018-05-05,2018,2,5,May,5,5,Saturday,18,False
2018-05-06,2018,2,5,May,6,6,Sunday,18,False
2018-05-07,2018,2,5,May,7,0,Monday,19,True
2018-05-08,2018,2,5,May,8,1,Tuesday,19,True
2018-05-09,2018,2,5,May,9,2,Wednesday,19,True
2018-05-10,2018,2,5,May,10,3,Thursday,19,True
2018-05-11,2018,2,5,May,11,4,Friday,19,True
2018-05-12,2018,2,5,May,12,5,Saturday,19,False
2018-05-13,2018,2,5,May,13,6,Sunday,19,False
2018-05-14,2018,2,5,May,14,0,Monday,20,True
2018-05-15,2018,2,5,May,15,1,Tuesday,20,True
2018-05-16,2018,2,5,May,16,2,Wednesday,20,True
2018-05-17,2018,2,5,May,17,3,Thursday,20,True
2018-05-18,2018,2,5,May,18,4,Friday,20,True
2018-05-19,2018,2,5,May,19,5,Saturday,20,False
2018-05-20,2018,2,5,May,20,6,Sunday,20,False
2018-05-21,2018,2,5,May,21,0,Monday,21,True
2018-05-22,2018,2,5,May,22,1,Tuesday,21,True
2018-05-23,2018,2,5,May,23,2,Wednesday,21,True
2018-05-24,2018,2,5,May,24,3,Thursday,21,True
2018-05-25,2018,2,5,May,25,4,Friday,21,True
2018-05-26,2018,2,5,May,26,5,Saturday,21,False
2018-05-27,2018,2,5,May,27,6,Sunday,21,False
2018-05-28,2018,2,5,May,28,0,Monday,22,True
2018-05-29,2018,2,5,May,29,1,Tuesday,22,True
2018-05-30,2018,2,5,May,30,2,Wednesday,22,True
2018-05-31,2018,2,5,May,31,3,Thursday,22,True
2018-06-01,2018,2,6,June,1,4,Friday,22,True
2018-06-02,2018,2,6,June,2,5,Saturday,22,False
2018-06-03,2018,2,6,June,3,6,Sunday,22,False
2018-06-04,2018,2,6,June,4,0,Monday,23,True
2018-06-05,2018,2,6,June,5,1,Tuesday,23,True
2018-06-06,2018,2,6,June,6,2,Wednesday,23,True
2018-06-07,2018,2,6,June,7,3,Thursday,23,True
2018-06-08,2018,2,6,June,8,4,Friday,23,True
2018-06-09,2018,2,6,June,9,5,Saturday,23,False
2018-06-10,2018,2,6,June,10,6,Sunday,23,False
2018-06-11,2018,2,6,June,11,0,Monday,24,True
2018-06-12,2018,2,6,June,12,1,Tuesday,24,True
2018-06-13,2018,2,6,June,13,2,Wednesday,24,True
2018-06-14,2018,2,6,June,14,3,Thursday,24,True
2018-06-15,2018,2,6,June,15,4,Friday,24,True
2018-06-16,2018,2,6,June,16,5,Saturday,24,False
2018-06-17,2018,2,6,June,17,6,Sunday,24,False
2018-06-18,2018,2,6,June,18,0,Monday,25,True
2018-06-19,2018,2,6,June,19,1,Tuesday,25,True
2018-06-20,2018,2,6,June,20,2,Wednesday,25,True
2018-06-21,2018,2,6,June,21,3,Thursday,25,True
2018-06-22,2018,2,6,June,22,4,Friday,25,True
2018-06-23,2018,2,6,June,23,5,Saturday,25,False
2018-06-24,2018,2,6,June,24,6,Sunday,25,False
2018-06-25,2018,2,6,June,25,0,Monday,26,True
2018-06-26,2018,2,6,June,26,1,Tuesday,26,True
2018-06-27,2018,2,6,June,27,2,Wednesday,26,True
2018-06-28,2018,2,6,June,28,3,Thursday,26,True
2018-06-29,2018,2,6,June,29,4,Friday,26,True
2018-06-30,2018,2,6,June,30,5,Saturday,26,False
2018-07-01,2018,3,7,July,1,6,Sunday,26,False
2018-07-02,2018,3,7,July,2,0,Monday,27,True
2018-07-03,2018,3,7,July,3,1,Tuesday,27,True
2018-07-04,2018,3,7,July,4,2,Wednesday,27,True
2018-07-05,2018,3,7,July,5,3,Thursday,27,True
2018-07-06,2018,3,7,July,6,4,Friday,27,True
2018-07-07,2018,3,7,July,7,5,Saturday,27,False
2018-07-08,2018,3,7,July,8,6,Sunday,27,False
2018-07-09,2018,3,7,July,9,0,Monday,28,True
2018-07-10,2018,3,7,July,10,1,Tuesday,28,True
2018-07-11,2018,3,7,July,11,2,Wednesday,28,True
2018-07-12,2018,3,7,July,12,3,Thursday,28,True
2018-07-13,2018,3,7,July,13,4,Friday,28,True
2018-07-14,2018,3,7,July,14,5,Saturday,28,False
2018-07-15,2018,3,7,July,15,6,Sunday,28,False
2018-07-16,2018,3,7,July,16,0,Monday,29,True
2018-07-17,2018,3,7,July,17,1,Tuesday,29,True
2018-07-18,2018,3,7,July,18,2,Wednesday,29,True
2018-07-19,2018,3,7,July,19,3,Thursday,29,True
2018-07-20,2018,3,7,July,20,4,Friday,29,True
2018-07-21,2018,3,7,July,21,5,Saturday,29,False
2018-07-22,2018,3,7,July,22,6,Sunday,29,False
2018-07-23,2018,3,7,July,23,0,Monday,30,True
2018-07-24,2018,3,7,July,24,1,Tuesday,30,True
2018-07-25,2018,3,7,July,25,2,Wednesday,30,True
2018-07-26,2018,3,7,July,26,3,Thursday,30,True
2018-07-27,2018,3,7,July,27,4,Friday,30,True
2018-07-28,2018,3,7,July,28,5,Saturday,30,False
2018-07-29,2018,3,7,July,29,6,Sunday,30,False
2018-07-30,2018,3,7,July,30,0,Monday,31,True
2018-07-31,2018,3,7,July,31,1,Tuesday,31,True
2018-08-01,2018,3,8,August,1,2,Wednesday,31,True
2018-08-02,2018,3,8,August,2,3,Thursday,31,True
2018-08-03,2018,3,8,August,3,4,Friday,31,True
2018-08-04,2018,3,8,August,4,5,Saturday,31,False
2018-08-05,2018,3,8,August,5,6,Sunday,31,False
2018-08-06,2018,3,8,August,6,0,Monday,32,True
